Archivo,Línea,Columna,Regla,Severidad,Mensaje
src/components/correccion/CargarResultadosModal.tsx,38,42,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/correccion/CargarResultadosModal.tsx,67,22,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/horarios/CrearHorarioModal.tsx,19,20,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/horarios/CrearHorarioModal.tsx,135,48,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/horarios/CrearHorarioModal.tsx,175,71,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/horarios/HorariosList.tsx,40,58,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/horarios/HorariosList.tsx,51,58,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/horarios/HorariosList.tsx,104,39,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/matrices/ImportarMatrizModal.tsx,23,29,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/matrices/ImportarMatrizModal.tsx,39,42,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/matrices/ImportarMatrizModal.tsx,73,22,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/planificacion-anual/PlanificacionesList.tsx,37,58,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/planificacion-anual/PlanificacionesList.tsx,42,70,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/planificacion-anual/PlanificacionesList.tsx,90,42,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/planificacion-anual/PlanificacionesList.tsx,137,38,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/tiptap-templates/simple/simple-editor.tsx,81,20,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/tiptap-templates/simple/simple-editor.tsx,82,28,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/components/tiptap-templates/simple/simple-editor.tsx,91,11,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/client.js,4,23,@typescript-eslint/no-require-imports,Error,"A `require()` style import is forbidden."
src/generated/prisma/default.js,4,23,@typescript-eslint/no-require-imports,Error,"A `require()` style import is forbidden."
src/generated/prisma/edge.js,18,3,@typescript-eslint/no-unused-vars,Error,"'skip' is assigned a value but never used."
src/generated/prisma/edge.js,24,3,@typescript-eslint/no-unused-vars,Error,"'warnOnce' is assigned a value but never used."
src/generated/prisma/edge.js,27,3,@typescript-eslint/no-unused-vars,Error,"'getRuntime' is assigned a value but never used."
src/generated/prisma/edge.js,28,3,@typescript-eslint/no-unused-vars,Error,"'createParam' is assigned a value but never used."
src/generated/prisma/edge.js,29,5,@typescript-eslint/no-require-imports,Error,"A `require()` style import is forbidden."
src/generated/prisma/index-browser.js,13,3,@typescript-eslint/no-unused-vars,Error,"'skip' is assigned a value but never used."
src/generated/prisma/index-browser.js,14,5,@typescript-eslint/no-require-imports,Error,"A `require()` style import is forbidden."
src/generated/prisma/index-browser.js,201,11,@typescript-eslint/no-unused-vars,Error,"'target' is defined but never used."
src/generated/prisma/index-browser.js,201,19,@typescript-eslint/no-unused-vars,Error,"'prop' is defined but never used."
src/generated/prisma/index.d.ts,7,8,@typescript-eslint/no-unused-vars,Error,"'$Types' is defined but never used."
src/generated/prisma/index.d.ts,112,15,@typescript-eslint/no-unused-vars,Error,"'T' is defined but never used."
src/generated/prisma/index.d.ts,112,81,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,124,21,@typescript-eslint/no-unused-vars,Error,"'T' is defined but never used."
src/generated/prisma/index.d.ts,124,60,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,135,79,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,147,58,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,163,47,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,375,13,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,376,14,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,380,13,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,381,11,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,387,49,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,392,53,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,392,78,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,405,23,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,434,11,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,461,17,@typescript-eslint/no-unnecessary-type-constraint,Error,"Constraining the generic type `T` to `any` does nothing and is unnecessary."
src/generated/prisma/index.d.ts,461,27,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,461,50,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,467,15,@typescript-eslint/no-wrapper-object-types,Error,"Prefer using the primitive `bigint` as a type name, rather than the upper-cased `BigInt`."
src/generated/prisma/index.d.ts,477,27,@typescript-eslint/no-unnecessary-type-constraint,Error,"Constraining the generic type `T` to `unknown` does nothing and is unnecessary."
src/generated/prisma/index.d.ts,508,23,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,538,26,@typescript-eslint/no-unnecessary-type-constraint,Error,"Constraining the generic type `A` to `any` does nothing and is unnecessary."
src/generated/prisma/index.d.ts,538,36,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,538,53,@typescript-eslint/no-unsafe-function-type,Error,"The `Function` type accepts any function-like value.
Prefer explicitly defining any function parameters and return type."
src/generated/prisma/index.d.ts,546,32,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,587,23,@typescript-eslint/no-unnecessary-type-constraint,Error,"Constraining the generic type `A1` to `any` does nothing and is unnecessary."
src/generated/prisma/index.d.ts,587,34,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,587,39,@typescript-eslint/no-unnecessary-type-constraint,Error,"Constraining the generic type `A2` to `any` does nothing and is unnecessary."
src/generated/prisma/index.d.ts,587,50,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
